Designator,Mid X,Mid Y,Rotation,Layer
BZ1,148.92,-75.51,0.0,top
C1,161.4,-111.175,270.0,top
C2,164.79,-111.185,270.0,top
C3,161.875,-89.025,270.0,top
C4,165.095,-88.995,270.0,top
C5,143.15,-92.7,180.0,top
C6,139.26,-92.68,180.0,top
C7,135.61,-92.66,0.0,top
D1,137.545,-74.68,0.0,top
D2,160.51,-74.68,0.0,top
J1,116.435,-93.55,0.0,top
J2,185.1,-101.47,90.0,top
J4,175.06,-74.61,270.0,top
Q1,118.3,-75.8975,270.0,top
R1,168.255,-111.155,90.0,top
R10,167.125,-131.56,0.0,top
R11,179.265,-131.59,0.0,top
R12,122.68,-75.95,90.0,top
R13,160.58,-80.63,0.0,top
R2,168.475,-89.005,270.0,top
R3,118.83,-131.53,180.0,top
R4,126.2,-75.935,90.0,top
R5,111.46,-97.56,0.0,top
R6,111.51,-94.71,0.0,top
R7,131.07,-131.56,0.0,top
R8,143.26,-131.51,0.0,top
R9,155.29,-131.53,0.0,top
SW1,119.17,-124.235,90.0,top
SW2,131.17,-124.235,90.0,top
SW3,143.17,-124.235,90.0,top
SW4,155.17,-124.235,90.0,top
SW5,167.17,-124.235,90.0,top
SW6,179.17,-124.235,90.0,top
U1,138.92,-102.79,0.0,top
U2,164.075,-96.635,0.0,top
Y1,164.34,-105.37,0.0,top
Y2,139.23,-87.7,180.0,top
